uid	name	q	description	common_name	last_updated	family	short_description
1309	Polycentropus confusus	provide a complete scientific and natural history summary of Polycentropus confusus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Polycentropus confusus is a species of caddisfly in the family polycentropodidae, commonly found in freshwater streams and rivers across north america. Adults are slender, moth-like insects with long antennae and membranous wings. Larvae build silken tubes or retreats among submerged vegetation or debris and are predatory, feeding on aquatic invertebrates. They contribute to freshwater ecosystem balance by regulating prey populations. Adults are short-lived and do not feed, emerging seasonally to mate and lay eggs. Polycentropus confusus is an indicator species for stream health and is used in aquatic biodiversity monitoring.	Ramosus fork palped harvestman	2025-07-09 19:57:28	Polycentropodidae	Caddisfly in the family Polycentropodidae, commonly found in freshwater streams and rivers across North America

1310	Polydrusus formosus	provide a complete scientific and natural history summary of Polydrusus formosus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Polydrusus formosus, commonly known as the green immigrant leaf weevil, is a species of broad-nosed weevil in the family curculionidae. It is native to europe but has been introduced to north america. Adults are metallic green and feed on the foliage of deciduous trees, particularly birch and beech. Larvae develop in the soil, feeding on roots of grasses and herbaceous plants. It is not typically a major pest but can cause noticeable defoliation in ornamental and forest trees. Polydrusus formosus contributes to herbivory dynamics in temperate forest ecosystems.	Beautiful curculionid	2025-07-09 19:57:28	Curculionidae	Commonly known as the green immigrant leaf weevil, is a species of broad-nosed weevil in the family Curculionidae

1311	Polygraphus poligraphus	provide a complete scientific and natural history summary of Polygraphus poligraphus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Polygraphus poligraphus is a bark beetle species in the family curculionidae, subfamily scolytinae, native to eurasia. It primarily infests spruce trees, boring into bark to lay eggs in galleries beneath the surface. Larvae feed on phloem tissues, disrupting nutrient flow and weakening the host tree. Outbreaks can contribute to forest decline, especially in conjunction with drought or fungal pathogens. It has a complex life cycle influenced by temperature and host tree condition. Polygraphus poligraphus is monitored in forestry for its economic and ecological impacts.	Poligraphus pine weevil	2025-07-09 19:57:28	Curculionidae	Bark beetle species in the family Curculionidae, subfamily Scolytinae, native to Eurasia

1312	Polyplax serrata	provide a complete scientific and natural history summary of Polyplax serrata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Polyplax serrata is a species of sucking louse in the family polyplacidae, parasitizing rodents such as mice and voles. It is an obligate ectoparasite, living in the fur and feeding on host blood via piercing mouthparts. It has a dorsoventrally flattened body adapted for clinging to hair and moving between hairs. Its life cycle includes egg (nit), nymph, and adult stages, all completed on the host. It may transmit bacterial or rickettsial pathogens to rodents and potentially affect host fitness. Polyplax serrata is studied in parasitology and rodent-borne disease ecology.	House mouse louse	2025-07-09 19:57:28	Polyplacidae	Sucking louse in the family Polyplacidae, parasitizing rodents such as mice and voles

1313	Pompilus cinereus	provide a complete scientific and natural history summary of Pompilus cinereus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pompilus cinereus is a species of spider wasp in the family pompilidae, distributed across europe, asia, and north africa. It is recognized by its slender body, smoky wings, and distinctive foraging behavior. Females paralyze ground-dwelling spiders, particularly wolf spiders, and place them in burrows as food for their larvae. It prefers dry, sandy habitats and is active during the warmer months. Pompilus cinereus plays a role in regulating spider populations and contributes to soil turnover through burrowing. Its hunting behavior and reproductive strategies are subjects of ethological research.	Leaden spider wasp	2025-07-09 19:57:28	Pompilidae	Spider wasp in the family Pompilidae, distributed across Europe, Asia, and North Africa

1314	Porcellio dilatatus	provide a complete scientific and natural history summary of Porcellio dilatatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Porcellio dilatatus is a terrestrial isopod in the family porcellionidae, native to europe and introduced elsewhere. It has a robust, flattened body with broad, overlapping plates and is gray to brown in color. It inhabits damp environments such as compost heaps, leaf litter, and under stones, feeding on decaying organic material. It plays an important role in decomposition and nutrient cycling in terrestrial ecosystems. Porcellio dilatatus is capable of breeding year-round in favorable conditions, producing live young in a brood pouch. It is also commonly used in ecological research and education due to its resilience and ease of care.	Giant canyon isopod	2025-07-09 19:57:28	Porcellionidae	Terrestrial isopod in the family Porcellionidae, native to Europe and introduced elsewhere
